Pixel 0, Pixel 1, Pixel 2, Pixel 3, Pixel 4, Pixel 5, Pixel 6, Pixel 7, Pixel 8, Pixel 9, Pixel 10, Pixel 11, Pixel 12, Pixel 13, Pixel 14, Pixel 15, Pixel 16, Pixel 17, Pixel 18, Pixel 19, Pixel 20, Pixel 21, Pixel 22, Pixel 23, Pixel 24, Pixel 25, Pixel 26, Pixel 27, Pixel 28, Pixel 29, Pixel 30, Pixel 31, Pixel 32, Pixel 33, Pixel 34, Pixel 35, Pixel 36, Pixel 37, Pixel 38, Pixel 39, Pixel 40, Pixel 41, Pixel 42, Pixel 43, Pixel 44, Pixel 45, Pixel 46, Pixel 47, Pixel 48, Pixel 49, Pixel 50, Pixel 51, Pixel 52, Pixel 53, Pixel 54, Pixel 55, Pixel 56, Pixel 57, Pixel 58, Pixel 59, Pixel 60, Pixel 61, Pixel 62, Pixel 63, Thermistor, Timestamp
24.500 ,25.000 ,23.500 ,22.750 ,20.250 ,19.500 ,19.750 ,20.000 ,21.500 ,23.500 ,22.250 ,22.500 ,19.500 ,20.250 ,20.750 ,20.750 ,21.000 ,20.250 ,21.250 ,20.500 ,20.750 ,20.000 ,20.000 ,20.500 ,20.500 ,20.750 ,20.250 ,20.000 ,20.000 ,20.250 ,20.500 ,20.250 ,20.250 ,20.250 ,19.750 ,20.250 ,20.250 ,20.250 ,20.750 ,20.000 ,20.750 ,19.750 ,19.500 ,20.250 ,20.250 ,19.750 ,20.250 ,20.750 ,19.500 ,19.750 ,20.500 ,19.250 ,19.750 ,20.000 ,20.750 ,21.250 ,20.500 ,20.250 ,19.750 ,20.250 ,19.750 ,19.500 ,20.500 ,21.000 ,24.3125 ,17:12:26.872
25.000 ,25.250 ,23.750 ,23.000 ,21.250 ,20.500 ,20.250 ,20.750 ,22.750 ,23.250 ,22.500 ,23.500 ,20.250 ,20.000 ,20.500 ,21.500 ,21.250 ,20.750 ,21.750 ,20.750 ,20.000 ,20.250 ,20.250 ,20.500 ,21.000 ,20.250 ,20.500 ,20.500 ,20.000 ,20.000 ,21.000 ,20.750 ,20.500 ,20.250 ,20.000 ,20.500 ,20.500 ,20.500 ,20.750 ,20.250 ,21.000 ,20.500 ,20.500 ,19.750 ,20.000 ,19.750 ,20.000 ,21.250 ,21.000 ,21.000 ,20.250 ,20.000 ,20.500 ,20.750 ,20.750 ,21.750 ,20.750 ,20.250 ,20.500 ,19.250 ,19.750 ,20.000 ,21.250 ,20.750 ,24.3125 ,17:12:26.973
25.250 ,25.500 ,23.500 ,22.750 ,21.000 ,20.750 ,20.000 ,20.000 ,22.750 ,23.750 ,22.250 ,22.250 ,19.750 ,20.500 ,20.750 ,20.500 ,21.500 ,21.500 ,22.000 ,21.250 ,21.000 ,20.750 ,20.000 ,21.750 ,21.250 ,21.250 ,20.750 ,20.500 ,20.000 ,20.750 ,21.000 ,20.250 ,20.000 ,20.250 ,20.250 ,20.250 ,20.250 ,20.500 ,20.250 ,20.500 ,20.500 ,20.500 ,20.250 ,20.000 ,20.250 ,20.250 ,20.250 ,21.000 ,21.000 ,20.500 ,20.000 ,19.750 ,20.000 ,20.750 ,21.250 ,21.500 ,21.250 ,20.250 ,20.500 ,20.000 ,20.250 ,19.750 ,20.750 ,21.250 ,24.3125 ,17:12:27.073
25.000 ,25.500 ,24.250 ,23.000 ,20.750 ,20.750 ,19.750 ,21.000 ,22.750 ,23.500 ,22.500 ,22.750 ,20.250 ,20.500 ,20.500 ,21.500 ,21.750 ,20.750 ,21.500 ,21.000 ,20.500 ,20.500 ,20.500 ,21.000 ,21.500 ,20.750 ,20.750 ,20.500 ,20.500 ,20.750 ,20.250 ,20.500 ,20.750 ,20.000 ,19.750 ,20.500 ,20.500 ,20.750 ,20.750 ,20.250 ,21.250 ,20.000 ,19.500 ,20.250 ,20.250 ,20.750 ,20.500 ,21.000 ,20.750 ,20.250 ,20.750 ,20.000 ,19.500 ,21.000 ,20.750 ,21.250 ,21.750 ,20.750 ,20.250 ,19.500 ,20.000 ,20.000 ,20.500 ,21.500 ,24.3125 ,17:12:27.174
24.500 ,25.250 ,23.750 ,22.750 ,21.000 ,20.500 ,20.750 ,20.500 ,22.500 ,23.750 ,22.000 ,23.250 ,20.250 ,20.250 ,20.500 ,21.250 ,22.000 ,21.000 ,22.000 ,20.750 ,20.750 ,20.250 ,20.250 ,21.250 ,21.750 ,21.250 ,20.750 ,20.500 ,20.750 ,20.500 ,20.250 ,21.250 ,20.750 ,20.250 ,20.000 ,20.000 ,20.500 ,20.750 ,20.750 ,20.000 ,20.250 ,20.250 ,19.750 ,20.250 ,20.250 ,20.250 ,19.750 ,20.750 ,20.500 ,21.000 ,20.500 ,20.000 ,19.500 ,21.000 ,20.750 ,21.500 ,21.250 ,20.250 ,20.500 ,19.250 ,20.000 ,19.250 ,20.750 ,21.000 ,24.3125 ,17:12:27.275
24.000 ,25.000 ,23.750 ,22.750 ,20.750 ,20.500 ,20.000 ,19.250 ,22.750 ,23.500 ,21.750 ,22.750 ,20.000 ,20.250 ,20.500 ,20.500 ,21.500 ,20.750 ,21.250 ,20.500 ,20.500 ,20.250 ,20.250 ,21.000 ,21.500 ,20.750 ,20.750 ,19.750 ,20.500 ,20.250 ,20.000 ,20.500 ,20.250 ,20.750 ,19.750 ,20.500 ,20.750 ,21.000 ,20.250 ,20.250 ,21.250 ,20.000 ,19.500 ,20.000 ,20.250 ,20.250 ,20.250 ,20.500 ,20.500 ,20.000 ,20.000 ,19.750 ,19.750 ,20.500 ,21.500 ,20.500 ,21.500 ,19.750 ,19.500 ,20.250 ,19.500 ,19.250 ,20.500 ,20.500 ,24.3125 ,17:12:27.375
24.750 ,25.250 ,24.250 ,22.500 ,20.500 ,20.500 ,19.750 ,21.000 ,23.000 ,23.250 ,22.750 ,23.250 ,20.000 ,20.250 ,20.750 ,21.000 ,21.750 ,22.000 ,22.000 ,21.250 ,20.750 ,20.250 ,20.750 ,21.500 ,21.000 ,21.000 ,20.500 ,20.250 ,20.500 ,20.500 ,19.750 ,20.750 ,20.500 ,20.250 ,20.250 ,20.500 ,20.000 ,20.500 ,20.750 ,19.500 ,21.000 ,20.000 ,20.000 ,20.500 ,20.250 ,20.500 ,20.750 ,21.250 ,21.500 ,20.250 ,20.250 ,20.250 ,20.000 ,20.750 ,20.750 ,21.500 ,21.000 ,20.500 ,20.000 ,19.250 ,19.750 ,19.750 ,20.750 ,21.250 ,24.3125 ,17:12:27.476
24.750 ,25.000 ,24.000 ,23.250 ,20.750 ,20.250 ,20.250 ,20.250 ,22.750 ,23.250 ,22.500 ,22.750 ,20.500 ,20.250 ,20.750 ,21.000 ,21.500 ,21.500 ,21.750 ,21.250 ,21.250 ,19.750 ,20.500 ,20.750 ,21.250 ,20.750 ,21.250 ,20.250 ,20.250 ,20.500 ,21.000 ,21.250 ,20.750 ,20.000 ,20.000 ,20.500 ,20.500 ,20.500 ,20.500 ,20.250 ,20.750 ,20.500 ,20.000 ,19.750 ,20.250 ,20.000 ,20.750 ,21.250 ,21.000 ,20.000 ,20.750 ,20.500 ,19.500 ,20.500 ,20.250 ,21.000 ,22.250 ,20.500 ,20.250 ,20.000 ,19.500 ,19.500 ,20.000 ,20.500 ,24.3125 ,17:12:27.577
24.000 ,25.500 ,24.000 ,23.000 ,21.000 ,20.000 ,20.250 ,20.000 ,22.250 ,23.250 ,22.500 ,22.250 ,20.250 ,20.000 ,20.250 ,21.250 ,21.500 ,21.000 ,22.000 ,21.000 ,20.500 ,20.250 ,20.250 ,21.250 ,21.250 ,21.250 ,20.500 ,20.500 ,20.250 ,20.250 ,20.500 ,21.500 ,20.750 ,20.250 ,20.250 ,20.750 ,21.500 ,20.250 ,20.500 ,20.000 ,21.250 ,20.500 ,20.000 ,20.500 ,20.250 ,20.500 ,20.500 ,21.500 ,20.750 ,20.250 ,19.750 ,20.500 ,20.000 ,21.000 ,21.250 ,21.250 ,21.250 ,20.250 ,20.250 ,19.500 ,19.750 ,20.000 ,20.250 ,21.000 ,24.3125 ,17:12:27.677
25.000 ,25.250 ,23.750 ,23.500 ,20.750 ,20.500 ,20.000 ,20.000 ,22.750 ,23.750 ,22.500 ,22.750 ,20.250 ,20.250 ,21.250 ,21.250 ,21.750 ,21.250 ,21.250 ,21.000 ,20.250 ,20.750 ,21.000 ,20.750 ,21.250 ,21.000 ,20.500 ,20.500 ,20.500 ,20.250 ,20.500 ,20.250 ,20.750 ,20.500 ,20.000 ,20.750 ,20.250 ,20.000 ,20.750 ,19.750 ,21.500 ,20.500 ,20.500 ,20.000 ,20.500 ,20.000 ,20.250 ,20.500 ,20.750 ,20.500 ,20.500 ,20.250 ,20.000 ,20.750 ,21.000 ,21.750 ,20.750 ,20.250 ,19.750 ,20.000 ,19.500 ,19.250 ,21.000 ,20.500 ,24.3125 ,17:12:27.779
24.750 ,25.250 ,24.250 ,23.000 ,20.500 ,20.250 ,20.000 ,20.000 ,22.000 ,22.250 ,22.000 ,22.500 ,19.500 ,20.750 ,20.000 ,21.250 ,21.000 ,20.750 ,21.750 ,21.250 ,20.250 ,20.000 ,19.750 ,21.250 ,20.750 ,21.000 ,20.250 ,20.000 ,20.000 ,20.250 ,20.000 ,20.250 ,20.250 ,20.250 ,20.250 ,20.250 ,20.750 ,20.750 ,20.250 ,19.750 ,21.250 ,20.000 ,19.750 ,20.000 ,20.250 ,19.750 ,20.750 ,20.750 ,19.500 ,19.750 ,20.500 ,19.750 ,19.500 ,20.250 ,20.500 ,21.000 ,21.500 ,19.750 ,19.500 ,19.750 ,19.000 ,20.000 ,21.000 ,21.000 ,24.3125 ,17:12:27.878
25.500 ,25.000 ,24.000 ,23.250 ,20.500 ,20.500 ,20.250 ,20.500 ,22.500 ,23.500 ,22.500 ,23.000 ,20.000 ,20.750 ,20.500 ,21.000 ,21.250 ,20.750 ,21.750 ,21.000 ,20.750 ,19.750 ,20.750 ,21.000 ,21.250 ,21.250 ,21.000 ,20.750 ,20.250 ,20.000 ,20.500 ,20.250 ,20.000 ,20.750 ,20.000 ,20.250 ,20.750 ,20.250 ,20.750 ,20.250 ,21.000 ,20.000 ,19.750 ,20.000 ,20.750 ,20.250 ,21.250 ,21.000 ,20.250 ,20.250 ,20.250 ,20.000 ,20.250 ,20.750 ,20.250 ,21.750 ,20.500 ,20.000 ,20.250 ,20.250 ,19.250 ,19.750 ,20.750 ,20.500 ,24.3125 ,17:12:27.979
25.500 ,25.000 ,23.750 ,23.000 ,20.750 ,20.250 ,20.250 ,20.000 ,22.750 ,22.750 ,22.750 ,22.750 ,20.000 ,20.000 ,21.250 ,21.000 ,21.750 ,21.250 ,21.500 ,21.500 ,20.500 ,20.750 ,21.250 ,20.750 ,21.000 ,21.250 ,20.500 ,20.750 ,20.250 ,20.250 ,20.250 ,21.000 ,20.500 ,20.250 ,19.750 ,20.250 ,20.500 ,20.750 ,20.250 ,20.000 ,21.250 ,20.750 ,20.000 ,19.750 ,20.750 ,20.250 ,20.750 ,21.000 ,21.500 ,21.250 ,20.500 ,20.000 ,19.750 ,21.500 ,21.000 ,21.750 ,21.000 ,20.250 ,20.500 ,19.000 ,19.750 ,19.750 ,20.500 ,20.500 ,24.3125 ,17:12:28.079
24.250 ,25.750 ,24.000 ,23.000 ,21.000 ,20.750 ,19.750 ,20.750 ,22.500 ,23.750 ,22.250 ,22.750 ,19.500 ,20.250 ,20.250 ,21.500 ,22.000 ,21.250 ,22.000 ,21.000 ,21.250 ,21.000 ,21.000 ,21.750 ,21.000 ,20.750 ,21.000 ,20.500 ,20.750 ,20.500 ,21.000 ,21.000 ,20.750 ,20.500 ,19.500 ,20.250 ,21.000 ,20.250 ,20.500 ,20.500 ,20.750 ,20.000 ,19.750 ,20.000 ,20.750 ,20.000 ,21.000 ,21.000 ,20.750 ,19.750 ,20.500 ,19.750 ,20.250 ,21.500 ,21.250 ,22.000 ,22.000 ,20.000 ,19.500 ,19.250 ,19.500 ,19.750 ,21.000 ,21.000 ,24.3750 ,17:12:28.180
24.750 ,25.000 ,24.250 ,23.500 ,21.250 ,20.250 ,20.000 ,21.250 ,22.250 ,23.250 ,22.500 ,23.000 ,19.750 ,21.000 ,20.500 ,21.000 ,21.500 ,21.250 ,21.500 ,20.750 ,20.500 ,20.250 ,20.500 ,21.000 ,21.750 ,21.000 ,20.500 ,20.250 ,20.500 ,20.250 ,20.000 ,21.000 ,20.000 ,20.250 ,20.000 ,20.250 ,20.750 ,20.250 ,20.250 ,20.250 ,21.250 ,20.250 ,19.750 ,20.000 ,20.250 ,19.750 ,19.750 ,20.750 ,20.250 ,21.000 ,19.750 ,20.000 ,19.750 ,20.750 ,21.500 ,21.000 ,21.250 ,21.000 ,19.500 ,20.250 ,19.750 ,20.000 ,21.500 ,21.250 ,24.3125 ,17:12:28.281
24.500 ,25.250 ,23.250 ,23.250 ,20.500 ,20.000 ,20.250 ,19.750 ,22.250 ,23.750 ,22.250 ,22.500 ,19.500 ,20.750 ,20.500 ,21.250 ,21.500 ,21.000 ,21.500 ,20.500 ,20.500 ,19.750 ,20.250 ,21.250 ,21.000 ,21.250 ,20.500 ,20.000 ,20.000 ,20.000 ,20.500 ,21.000 ,20.000 ,19.750 ,20.250 ,19.750 ,20.500 ,20.250 ,20.750 ,19.500 ,21.250 ,19.750 ,19.500 ,20.000 ,20.250 ,20.250 ,21.250 ,20.500 ,19.500 ,20.250 ,19.750 ,19.500 ,20.000 ,20.500 ,20.500 ,20.500 ,20.500 ,19.500 ,19.250 ,20.000 ,19.000 ,19.250 ,20.500 ,21.000 ,24.3125 ,17:12:28.381
25.000 ,25.750 ,24.250 ,23.000 ,21.250 ,19.750 ,19.500 ,21.000 ,22.500 ,23.250 ,22.250 ,22.750 ,19.750 ,20.500 ,20.250 ,21.000 ,22.500 ,21.250 ,21.750 ,21.000 ,20.250 ,20.250 ,20.500 ,21.500 ,21.250 ,21.000 ,20.500 ,20.000 ,20.250 ,20.000 ,21.250 ,20.750 ,20.500 ,20.250 ,19.750 ,20.750 ,20.500 ,20.750 ,20.750 ,19.750 ,21.500 ,20.250 ,19.750 ,19.750 ,20.500 ,20.250 ,20.500 ,20.750 ,21.250 ,20.250 ,20.000 ,19.500 ,20.000 ,20.750 ,20.750 ,22.000 ,20.750 ,19.500 ,20.250 ,19.750 ,19.500 ,20.250 ,21.000 ,21.250 ,24.3125 ,17:12:28.482
24.250 ,26.000 ,24.000 ,23.500 ,21.000 ,20.500 ,19.500 ,21.250 ,23.000 ,23.750 ,21.750 ,22.500 ,20.250 ,20.250 ,21.000 ,21.000 ,21.750 ,21.250 ,21.750 ,21.250 ,20.500 ,20.750 ,20.500 ,21.000 ,21.750 ,21.750 ,20.250 ,20.500 ,20.000 ,20.750 ,20.250 ,20.500 ,20.250 ,20.250 ,20.250 ,20.000 ,20.500 ,20.250 ,21.000 ,19.250 ,21.250 ,20.000 ,19.750 ,20.500 ,20.250 ,20.250 ,20.250 ,21.000 ,20.000 ,20.250 ,20.000 ,20.000 ,19.500 ,20.750 ,21.500 ,21.000 ,21.500 ,20.000 ,20.250 ,19.750 ,19.750 ,19.500 ,20.750 ,21.500 ,24.3125 ,17:12:28.582
24.750 ,24.500 ,24.500 ,23.500 ,20.750 ,20.250 ,19.750 ,20.250 ,22.250 ,23.500 ,22.500 ,23.000 ,20.750 ,20.750 ,20.500 ,21.000 ,21.500 ,21.000 ,21.500 ,21.250 ,20.000 ,20.500 ,20.500 ,21.000 ,21.500 ,21.250 ,20.500 ,20.250 ,20.500 ,20.250 ,19.750 ,20.500 ,20.250 ,20.250 ,20.000 ,20.500 ,20.500 ,20.500 ,20.750 ,19.500 ,20.750 ,20.000 ,19.750 ,20.000 ,20.500 ,20.000 ,20.750 ,20.750 ,20.750 ,20.000 ,20.500 ,19.250 ,20.000 ,21.500 ,21.000 ,21.000 ,21.750 ,20.750 ,20.500 ,20.250 ,19.500 ,19.250 ,20.500 ,20.750 ,24.3125 ,17:12:28.683
25.000 ,25.000 ,24.250 ,23.000 ,21.250 ,20.250 ,20.000 ,20.250 ,22.500 ,23.250 ,22.000 ,23.000 ,20.000 ,20.750 ,20.750 ,20.500 ,21.500 ,20.500 ,21.750 ,21.250 ,20.500 ,20.250 ,20.500 ,21.500 ,21.500 ,21.000 ,20.500 ,20.500 ,20.250 ,20.000 ,20.500 ,20.750 ,20.500 ,20.250 ,20.250 ,20.500 ,20.750 ,20.000 ,21.000 ,20.000 ,21.000 ,20.500 ,19.750 ,20.250 ,20.500 ,20.500 ,20.250 ,21.000 ,20.500 ,20.250 ,20.500 ,20.250 ,20.000 ,21.000 ,20.000 ,21.750 ,22.000 ,20.000 ,21.000 ,20.250 ,19.750 ,20.000 ,20.000 ,21.000 ,24.3125 ,17:12:28.785
24.500 ,25.000 ,24.000 ,22.250 ,20.250 ,19.750 ,20.250 ,19.750 ,21.750 ,23.000 ,21.500 ,22.250 ,20.000 ,20.750 ,20.000 ,20.250 ,21.500 ,20.750 ,21.500 ,20.750 ,20.500 ,19.750 ,20.250 ,21.500 ,20.500 ,21.250 ,20.250 ,20.000 ,19.750 ,20.000 ,19.750 ,20.250 ,20.250 ,20.000 ,19.750 ,20.250 ,20.250 ,19.750 ,20.750 ,18.750 ,20.750 ,20.500 ,19.250 ,19.750 ,20.000 ,19.750 ,20.250 ,20.500 ,19.750 ,20.250 ,19.750 ,19.750 ,19.500 ,20.250 ,20.250 ,20.500 ,21.500 ,20.250 ,19.000 ,19.250 ,19.000 ,19.000 ,20.500 ,21.000 ,24.3125 ,17:12:28.884
25.000 ,25.750 ,23.750 ,22.750 ,20.250 ,20.250 ,19.750 ,20.750 ,22.250 ,23.500 ,22.500 ,23.500 ,20.000 ,20.750 ,20.250 ,21.000 ,21.250 ,21.250 ,21.500 ,21.000 ,20.500 ,20.250 ,21.250 ,21.250 ,21.500 ,21.000 ,20.750 ,20.250 ,20.500 ,20.000 ,20.500 ,21.250 ,20.250 ,20.250 ,20.250 ,20.500 ,20.250 ,20.000 ,21.250 ,19.250 ,21.000 ,20.250 ,20.000 ,20.250 ,20.250 ,20.250 ,19.250 ,21.000 ,20.500 ,21.000 ,20.250 ,19.750 ,19.500 ,21.000 ,21.000 ,20.750 ,21.750 ,19.750 ,19.500 ,19.500 ,20.000 ,20.250 ,21.000 ,21.500 ,24.3125 ,17:12:28.985
